frame,timestamp_s,motion_score,changed_pct,motion_level
177,5.900,7.238,8.764,Medium
178,5.933,5.864,6.598,Medium
179,5.967,5.775,6.703,Medium
180,6.000,7.418,8.852,Medium
181,6.033,5.630,6.604,Medium
182,6.067,5.712,6.528,Medium
183,6.100,7.087,8.394,Medium
184,6.133,5.514,6.469,Medium
185,6.167,5.531,6.377,Medium
186,6.200,6.796,8.299,Medium
187,6.233,5.031,6.098,Medium
188,6.267,5.390,6.187,Medium
189,6.300,6.864,8.246,Medium
190,6.333,5.346,6.439,Medium
191,6.367,5.461,6.505,Medium
192,6.400,6.868,8.465,Medium
193,6.433,5.230,6.409,Medium
194,6.467,5.753,6.546,Medium
195,6.500,7.104,8.698,Medium
196,6.533,5.353,6.691,Medium
197,6.567,5.373,6.646,Medium
198,6.600,6.761,8.753,Medium
199,6.633,5.182,6.557,Medium
200,6.667,6.050,6.681,Medium
201,6.700,6.710,8.680,Medium
202,6.733,5.121,6.503,Medium
203,6.767,5.085,6.325,Medium
204,6.800,6.277,8.115,Medium
205,6.833,4.611,5.732,Low
206,6.867,4.586,5.671,Low
207,6.900,5.462,7.189,Medium
208,6.933,4.168,5.218,Low
209,6.967,4.174,5.007,Low
210,7.000,4.927,6.403,Low
211,7.033,3.956,4.601,Low
212,7.067,3.817,4.500,Low
213,7.100,4.988,6.137,Low
214,7.133,3.788,4.534,Low
215,7.167,3.869,4.546,Low
216,7.200,4.973,6.404,Low
217,7.233,3.823,4.789,Low
218,7.267,3.962,4.999,Low
219,7.300,4.946,6.584,Low
220,7.333,3.784,4.866,Low
221,7.367,3.915,4.854,Low
222,7.400,4.856,6.636,Low
223,7.433,4.235,5.029,Low
224,7.467,4.269,5.096,Low
225,7.500,5.089,6.693,Medium
226,7.533,4.224,5.234,Low
227,7.567,4.000,5.052,Low
228,7.600,5.199,6.759,Medium
229,7.633,4.057,5.178,Low
230,7.667,4.165,5.388,Low
231,7.700,5.194,6.896,Medium
232,7.733,3.926,5.032,Low
233,7.767,3.975,5.013,Low
234,7.800,5.235,6.884,Medium
235,7.833,4.126,5.361,Low
236,7.867,4.222,5.447,Low
237,7.900,5.474,7.178,Medium
238,7.933,4.288,5.444,Low
239,7.967,4.293,5.386,Low
240,8.000,5.505,7.025,Medium
241,8.033,4.207,5.241,Low
242,8.067,4.476,5.480,Low
243,8.100,5.923,7.544,Medium
244,8.133,4.630,5.762,Low
