frame,timestamp_s,motion_score,changed_pct,motion_level
189,7.875,0.456,0.000,Low
190,7.917,4.316,3.903,Low
191,7.958,0.241,0.000,Low
192,8.000,0.625,0.000,Low
193,8.042,0.455,0.149,Low
194,8.083,0.189,0.000,Low
195,8.125,0.211,0.000,Low
196,8.167,0.501,0.315,Low
197,8.208,0.305,0.000,Low
198,8.250,0.181,0.000,Low
199,8.292,0.464,0.100,Low
200,8.333,0.145,0.000,Low
201,8.375,0.247,0.000,Low
202,8.417,0.402,0.149,Low
203,8.458,0.149,0.000,Low
204,8.500,0.198,0.000,Low
205,8.542,0.793,0.395,Low
206,8.583,0.165,0.000,Low
207,8.625,0.614,0.431,Low
208,8.667,0.503,0.098,Low
209,8.708,1.408,1.503,Low
210,8.750,0.248,0.000,Low
211,8.792,1.178,0.907,Low
212,8.833,0.151,0.000,Low
213,8.875,0.684,0.461,Low
214,8.917,0.415,0.148,Low
215,8.958,0.215,0.000,Low
216,9.000,0.184,0.000,Low
217,9.042,0.081,0.000,Low
218,9.083,0.095,0.000,Low
219,9.125,124.994,79.296,High
220,9.167,0.010,0.000,Low
221,9.208,2.798,2.288,Low
222,9.250,0.026,0.000,Low
223,9.292,2.779,2.247,Low
224,9.333,0.048,0.000,Low
225,9.375,2.700,2.182,Low
226,9.417,0.061,0.000,Low
227,9.458,2.634,2.085,Low
228,9.500,0.040,0.000,Low
229,9.542,2.607,2.040,Low
230,9.583,0.207,0.000,Low
231,9.625,2.485,1.940,Low
232,9.667,0.024,0.000,Low
233,9.708,2.437,1.905,Low
234,9.750,0.015,0.000,Low
235,9.792,2.389,1.812,Low
236,9.833,0.024,0.000,Low
237,9.875,5.021,5.502,Medium
238,9.917,0.040,0.000,Low
239,9.958,0.075,0.000,Low
240,10.000,14.936,14.577,Medium
241,10.042,0.031,0.000,Low
242,10.083,0.046,0.000,Low
243,10.125,13.693,13.015,Medium
244,10.167,0.052,0.000,Low
245,10.208,0.049,0.000,Low
246,10.250,45.312,28.382,High
247,10.292,2.091,1.974,Low
248,10.333,42.590,29.237,High
249,10.375,2.520,2.138,Low
250,10.417,71.943,45.774,High
251,10.458,26.739,23.582,High
252,10.500,65.166,46.251,High
253,10.542,13.051,15.988,Medium
254,10.583,40.805,36.162,High
255,10.625,13.791,16.552,Medium
256,10.667,37.627,35.114,High
257,10.708,13.066,16.843,Medium
258,10.750,19.360,22.241,High
